label,name,order,list name
igneous,igneous,0,rm0pv08
metamorphic,metamorphic,1,rm0pv08
sedimentary,sedimentary,2,rm0pv08
sediment,sediment,3,rm0pv08
alluvium,alluvium,0,ej6zw88
older alluvium,older_alluvium,1,ej6zw88
colluvium,colluvium,2,ej6zw88
lake deposit,lake_deposit,3,ej6zw88
eolian,eolian,4,ej6zw88
talus,talus,5,ej6zw88
breccia,breccia,6,ej6zw88
gravel,gravel,7,ej6zw88
sand,sand,8,ej6zw88
silt,silt,9,ej6zw88
clay,clay,10,ej6zw88
other,other,12,ej6zw88
limestone,limestone,,bt4yo56
dolostone,dolostone,,bt4yo56
travertine,travertine,,bt4yo56
evaporite,evaporite,,bt4yo56
chert,chert,,bt4yo56
conglomerate,conglomerate,,bt4yo56
breccia,breccia,,bt4yo56
sandstone,sandstone,,bt4yo56
siltstone,siltstone,,bt4yo56
mudstone,mudstone,,bt4yo56
shale,shale,,bt4yo56
claystone,claystone,,bt4yo56
coal,coal,,bt4yo56
other,other,,bt4yo56
volcanic,volcanic,,nm4yc64
plutonic,plutonic,,nm4yc64
hypabyssal,hypabyssal,,nm4yc64
basalt,basalt,0,gw1hp47
basaltic-andesite,basaltic_andes,1,gw1hp47
andesite,andesite,2,gw1hp47
latite,latite,3,gw1hp47
dacite,dacite,4,gw1hp47
rhyolite,rhyolite,5,gw1hp47
tuff,tuff,6,gw1hp47
ash-fall tuff,ash_fall_tuff,7,gw1hp47
ash-flow tuff,ash_flow_tuff,8,gw1hp47
vitrophyre,vitrophyre,10,gw1hp47
trachyte,trachyte,11,gw1hp47
trachyandesite,trachyandesite,12,gw1hp47
tuff breccia,tuff_breccia,13,gw1hp47
lapilli tuff,lapilli_tuff,14,gw1hp47
other,other,15,gw1hp47
granite,granite,0,pu9hj08
alkali feldspar granite,alkali_feldspa,1,pu9hj08
quartz monzonite,quartz_monzoni,2,pu9hj08
syenite,syenite,3,pu9hj08
granodiorite,granodiorite,4,pu9hj08
monzonite,monzonite,5,pu9hj08
tonalite,tonalite,6,pu9hj08
diorite,diorite,7,pu9hj08
gabbro,gabbro,9,pu9hj08
anorthosite,anorthosite,10,pu9hj08
other,other,15,pu9hj08
low-grade,low_grade,,yg0ew35
medium-grade,medium_grade,,yg0ew35
high-grade,high_grade,,yg0ew35
slate,slate,,yg0ew35
phyllite,phyllite,,yg0ew35
schist,schist,,yg0ew35
gneiss,gneiss,,yg0ew35
marble,marble,,yg0ew35
quartzite,quartzite,,yg0ew35
amphibolite,amphibolite,,yg0ew35
serpentinite,serpentinite,,yg0ew35
hornfels,hornfels,,yg0ew35
metavolcanic,metavolcanic,,yg0ew35
calc-silicate,calc_silicate,,yg0ew35
mylonite,mylonite,,yg0ew35
other,other,,yg0ew35
Phanerozoic,phanerozoic,,fy5ep25
Proterozoic,proterozoic,,fy5ep25
Archean,archean,,fy5ep25
Hadean,hadean,,fy5ep25
Cenozoic,cenozoic,,vz9ao44
Mesozoic,mesozoic,,vz9ao44
Paleozoic,paleozoic,,vz9ao44
Neoproterozoic,neoproterozoic,,gr2yp07
Mesoproterozoic,mesoproterozoi,,gr2yp07
Paleoproterozoic,paleoproterozo,,gr2yp07
Neoarchean,neoarchean,,fz38a59
Mesoarchean,mesoarchean,,fz38a59
Paleoarchean,paleoarchean,,fz38a59
Eoarchean,eoarchean,,fz38a59
Quaternary,quaternary,,lb7hu27
Neogene,neogene,,lb7hu27
Paleogene,paleogene,,lb7hu27
Cretaceous,cretaceous,,xu87d35
Jurassic,jurassic,,xu87d35
Triassic,triassic,,xu87d35
Permian,permian,,vh16g23
Carboniferous,carboniferous,,vh16g23
Pennsylvanian,pennsylvanian,,vh16g23
Mississippian,mississippian,,vh16g23
Devonian,devonian,,vh16g23
Silurian,silurian,,vh16g23
Ordovician,ordovician,,vh16g23
Cambrian,cambrian,,vh16g23
Ediacaran,ediacaran,,yx4re06
Crygenian,crygenian,,yx4re06
Tonian,tonian,,yx4re06
Stenian,stenian,,yx4re06
Ectasian,ectasian,,yx4re06
Calymmian,calymmian,,yx4re06
Statherian,statherian,,yx4re06
Orosirian,orosirian,,yx4re06
Rhyacian,rhyacian,,yx4re06
SIderian,siderian,,yx4re06
Holocene,holocene,,vd9wt91
Pleistocene,pleistocene,,vd9wt91
Pliocene,pliocene,0,sw9pw60
Miocene,miocene,1,sw9pw60
Oligocene,oligocene,,li0is11
Eocene,eocene,,li0is11
Paleocene,paleocene,,li0is11
Late,late,,ns6qv42
Middle,middle,,ns6qv42
Early,early,,ns6qv42
